trade_date,name,value
20230103,一带一路,0.0
20230104,一带一路,0.46419999999999995
20230105,一带一路,0.7626999999999997
20230106,一带一路,0.5348999999999995
20230109,一带一路,1.0097999999999994
20230110,一带一路,0.3259999999999996
20230111,一带一路,-0.12690000000000046
20230112,一带一路,-0.30130000000000035
20230113,一带一路,0.011999999999999567
20230116,一带一路,1.0023999999999997
20230117,一带一路,0.8818999999999999
20230118,一带一路,1.4514999999999998
20230119,一带一路,1.9017999999999997
20230120,一带一路,3.2984999999999998
20230130,一带一路,4.4479
20230131,一带一路,5.1937999999999995
20230201,一带一路,6.6242
20230202,一带一路,6.7902000000000005
20230203,一带一路,6.4367
20230206,一带一路,6.4686
20230207,一带一路,7.196900000000001
20230208,一带一路,6.526300000000001
20230209,一带一路,7.641100000000002
20230210,一带一路,7.836700000000002
20230213,一带一路,9.234000000000002
20230214,一带一路,9.397900000000002
20230215,一带一路,9.2725
20230216,一带一路,6.865400000000001
20230217,一带一路,6.6111
20230220,一带一路,8.2144
20230221,一带一路,8.9484
20230222,一带一路,8.9124
20230223,一带一路,8.766399999999999
20230224,一带一路,8.4956
20230227,一带一路,7.8055
20230228,一带一路,8.5952
20230301,一带一路,9.5149
20230302,一带一路,9.794500000000001
20230303,一带一路,10.727
20230306,一带一路,10.8093
20230307,一带一路,9.5785
20230308,一带一路,9.9907
20230309,一带一路,10.1227
20230310,一带一路,8.4856
20230313,一带一路,9.6066
20230314,一带一路,8.3337
20230315,一带一路,10.2329
20230316,一带一路,8.5737
20230317,一带一路,9.8232
20230320,一带一路,9.1954
20230321,一带一路,9.6838
20230322,一带一路,9.8403
20230323,一带一路,9.7081
20230324,一带一路,9.0486
20230327,一带一路,8.7134
20230328,一带一路,8.3198
20230329,一带一路,7.3260000000000005
20230330,一带一路,6.815200000000001
20230331,一带一路,7.546100000000001
20230403,一带一路,8.558800000000002
20230404,一带一路,8.604200000000002
20230406,一带一路,8.114600000000003
20230407,一带一路,8.399800000000003
20230410,一带一路,7.759100000000002
20230411,一带一路,8.050500000000001
20230412,一带一路,8.943700000000002
20230413,一带一路,8.791900000000002
20230414,一带一路,9.615600000000002
20230417,一带一路,10.572900000000002
20230418,一带一路,9.966700000000003
20230419,一带一路,9.528300000000003
20230420,一带一路,9.382800000000003
20230421,一带一路,7.174600000000003
20230424,一带一路,6.761900000000004
20230425,一带一路,5.129300000000004
20230426,一带一路,5.830100000000004
20230427,一带一路,5.699100000000004
20230428,一带一路,8.063800000000004
20230504,一带一路,9.043500000000003
20230505,一带一路,8.820300000000003
20230508,一带一路,10.133200000000004
20230509,一带一路,8.870500000000003
20230510,一带一路,8.721800000000004
20230511,一带一路,8.629300000000004
20230512,一带一路,7.337800000000003
20230515,一带一路,7.930400000000004
20230516,一带一路,6.609300000000005
20230517,一带一路,7.7458000000000045
20230518,一带一路,8.152200000000004
20230519,一带一路,7.223900000000004
20230522,一带一路,7.576200000000004
20230523,一带一路,6.155200000000004
20230524,一带一路,5.849500000000004
20230525,一带一路,6.000400000000004
20230526,一带一路,6.241800000000005
20230529,一带一路,5.922000000000004
20230530,一带一路,6.774800000000004
20230531,一带一路,6.464100000000004
20230601,一带一路,6.739500000000003
20230602,一带一路,7.488500000000004
20230605,一带一路,7.7275000000000045
20230606,一带一路,6.089600000000004
20230607,一带一路,6.552300000000004
20230608,一带一路,6.9493000000000045
20230609,一带一路,7.167600000000004
20230612,一带一路,7.539200000000005
20230613,一带一路,7.532200000000005
20230614,一带一路,7.8437000000000054
20230615,一带一路,8.269100000000005
20230616,一带一路,9.387800000000006
20230619,一带一路,8.805600000000005
20230620,一带一路,8.035600000000006
20230621,一带一路,6.898200000000006
20230626,一带一路,5.210500000000007
20230627,一带一路,7.744900000000007
20230628,一带一路,7.712700000000007
20230629,一带一路,8.378800000000007
20230630,一带一路,9.281400000000007
20230703,一带一路,10.056300000000007
20230704,一带一路,10.188200000000007
20230705,一带一路,9.672100000000007
20230706,一带一路,9.479600000000007
20230707,一带一路,9.227300000000007
20230710,一带一路,9.603800000000007
20230711,一带一路,10.163700000000008
20230712,一带一路,8.871000000000008
20230713,一带一路,9.835100000000008
20230714,一带一路,10.040700000000008
20230717,一带一路,9.922100000000007
20230718,一带一路,9.983700000000008
20230719,一带一路,10.209000000000009
20230720,一带一路,9.198600000000008
20230721,一带一路,9.059800000000008
20230724,一带一路,9.235300000000008
20230725,一带一路,10.996500000000008
20230726,一带一路,10.841900000000008
20230727,一带一路,10.317700000000007
20230728,一带一路,11.123900000000008
20230731,一带一路,12.373100000000008
20230801,一带一路,12.246200000000007
20230802,一带一路,11.870700000000006
20230803,一带一路,11.504500000000007
20230804,一带一路,11.477100000000007
20230807,一带一路,10.972600000000007
20230808,一带一路,10.740300000000007
20230809,一带一路,9.862300000000007
20230810,一带一路,10.415700000000006
20230811,一带一路,8.435200000000007
20230814,一带一路,9.196100000000007
20230815,一带一路,8.845700000000006
20230816,一带一路,7.948600000000006
20230817,一带一路,9.380500000000007
20230818,一带一路,8.653900000000007
20230821,一带一路,8.273700000000007
20230822,一带一路,8.663400000000006
20230823,一带一路,6.9568000000000065
20230824,一带一路,5.946400000000006
20230825,一带一路,4.473100000000006
20230828,一带一路,5.781300000000006
20230829,一带一路,8.519600000000006
20230830,一带一路,8.329000000000006
20230831,一带一路,7.747600000000006
20230901,一带一路,8.268000000000006
20230904,一带一路,10.285500000000006
20230103,专精特新,0.0
20230104,专精特新,0.06320000000000014
20230105,专精特新,1.1738999999999997
20230106,专精特新,1.5104999999999995
